id,role,role_full,name,team,season,season_weight,apps,avg,fanta_avg,goals,assists,yc,rc,pens_scored,pens_missed,own_goals,goals_conceded
350,P,Por,Donnarumma G.,Milan,2020_21,0.3277,37,6.28,5.32,0,0,1,0,1,0,0,38
453,P,Por,Szczesny,Juventus,2020_21,0.3277,30,6.22,5.38,0,1,0,0,2,0,0,32
250,P,Por,Handanovic,Inter,2020_21,0.3277,37,6.03,5.23,0,0,1,0,2,0,1,33
610,P,Por,Gollini,Atalanta,2020_21,0.3277,25,6.1,5.26,0,0,0,1,2,0,0,26
761,P,Por,Audero,Sampdoria,2020_21,0.3277,37,6.38,5.11,0,1,0,0,2,0,0,54
509,P,Por,Consigli,Sassuolo,2020_21,0.3277,37,6.38,4.93,0,0,1,0,1,0,0,56
572,P,Por,Meret,Napoli,2020_21,0.3277,22,6.2,4.89,0,0,0,0,0,0,0,29
218,P,Por,Perin,Genoa,2020_21,0.3277,32,6.25,4.83,0,0,1,1,0,0,0,44
1917,P,Por,Dragowski,Fiorentina,2020_21,0.3277,36,6.21,4.85,0,0,0,0,2,0,0,55
2178,P,Por,Cragno,Cagliari,2020_21,0.3277,34,6.37,4.79,0,0,1,0,0,0,0,53
387,P,Por,Reina,Lazio,2020_21,0.3277,29,6.12,4.69,0,0,1,0,0,0,0,41
2211,P,Por,Silvestri,Verona,2020_21,0.3277,34,6.21,4.9,0,0,1,0,0,0,1,42
2468,P,Por,Ospina,Napoli,2020_21,0.3277,16,6.09,5.34,0,1,2,0,0,0,0,12
133,P,Por,Skorupski,Bologna,2020_21,0.3277,28,6.09,4.64,0,0,1,0,2,0,0,46
2792,P,Por,Musso,Udinese,2020_21,0.3277,35,6.13,4.6,0,0,5,0,0,0,0,51
4,P,Por,Sportiello,Atalanta,2020_21,0.3277,15,6.23,5.03,0,0,0,0,1,0,0,21
2815,P,Por,Terracciano,Fiorentina,2020_21,0.3277,4,6.25,6,0,0,0,0,1,0,0,4
4419,P,Por,Pau Lopez,Roma,2020_21,0.3277,21,6.1,4.71,0,0,0,0,0,0,0,29
282,P,Por,Buffon,Juventus,2020_21,0.3277,8,6.31,6.06,0,0,0,0,1,0,0,5
1934,P,Por,Strakosha,Lazio,2020_21,0.3277,9,5.94,4.33,0,0,1,0,0,0,0,14
